iter	Passed	Remaining
829	21662	4436
830	21683	4409
831	21715	4384
832	21738	4358
833	21769	4332
834	21797	4307
835	21824	4281
836	21848	4254
837	21869	4227
838	21899	4202
839	21929	4176
840	21956	4151
841	21980	4124
842	22008	4098
843	22029	4071
844	22049	4044
845	22072	4017
846	22094	3991
847	22122	3965
848	22148	3939
849	22182	3914
850	22213	3889
851	22240	3863
852	22263	3836
853	22283	3809
854	22303	3782
855	22324	3755
856	22359	3730
857	22388	3705
858	22413	3678
859	22444	3653
860	22467	3627
861	22489	3600
862	22512	3573
863	22535	3547
864	22571	3522
865	22604	3497
866	22633	3471
867	22655	3445
868	22677	3418
869	22700	3392
870	22720	3365
871	22741	3338
872	22774	3313
873	22800	3287
874	22830	3261
875	22855	3235
876	22880	3209
877	22901	3182
878	22927	3156
879	22947	3129
880	22970	3102
881	23001	3077
882	23032	3051
883	23057	3025
884	23082	2999
885	23104	2972
886	23125	2946
887	23147	2919
888	23182	2894
889	23226	2870
890	23253	2844
891	23277	2818
892	23298	2791
893	23321	2765
894	23342	2738
895	23362	2711
896	23384	2685
897	23412	2659
898	23443	2633
899	23470	2607
900	23497	2581
901	23519	2555
902	23540	2528
903	23560	2502
904	23584	2475
905	23608	2449
906	23636	2423
907	23671	2398
908	23700	2372
909	23722	2346
910	23742	2319
911	23766	2293
912	23785	2266
913	23806	2239
914	23838	2214
915	23876	2189
916	23912	2164
917	23937	2138
918	23958	2111
919	23981	2085
920	24002	2058
921	24025	2032
922	24050	2006
923	24083	1980
924	24111	1954
925	24134	1928
926	24162	1902
927	24183	1876
928	24207	1850
929	24229	1823
930	24255	1797
931	24279	1771
932	24309	1745
933	24338	1719
934	24360	1693
935	24381	1667
936	24405	1640
937	24425	1614
938	24448	1588
939	24483	1562
940	24514	1537
941	24549	1511
942	24575	1485
943	24595	1459
944	24614	1432
945	24637	1406
946	24661	1380
947	24689	1354
948	24721	1328
949	24749	1302
950	24771	1276
951	24793	1250
952	24818	1223
953	24838	1197
954	24859	1171
955	24891	1145
956	24920	1119
957	24948	1093
958	24976	1067
959	25000	1041
960	25020	1015
961	25041	989
962	25064	963
963	25089	936
964	25116	910
965	25143	884
966	25172	859
967	25199	833
968	25221	806
969	25243	780
970	25263	754
971	25287	728
972	25319	702
973	25355	676
974	25387	650
975	25410	624
976	25435	598
977	25458	572
978	25479	546
979	25498	520
980	25527	494
981	25559	468
982	25584	442
983	25613	416
984	25638	390
985	25659	364
986	25678	338
987	25699	312
988	25731	286
989	25760	260
990	25793	234
991	25816	208
992	25840	182
993	25860	156
994	25882	130
995	25904	104
996	25928	78
997	25961	52
998	25992	26
999	26021	0
